Agg Node,State,Hours,Bandwidth (Mbps),98th-%ile Payload (Mbps),*Spurious Capacity Provided,Total BW Limited Hours,BW Limited Days,Total Statistical Clipping Hours,Statistical Clipping Days,Likely Also RAN Limited,Congestion Model Fit,Model Congestion of Interest,Rank,Node ,Unknown
MVBW0X1,WA,554,1000,1.44,,0,0,13,4,--,--,--,10843,MVBWLM1,
MVED,VIC,482,,2.84,,0,0,12,1,--,--,--,10844,MVEDLM1,
MVES,SA,483,,1.76,,0,0,11,4,--,--,--,10845,MVESLM0,
MVAEBX1,QLD,526,1000,5.57,,0,0,12,4,--,--,--,10846,MVAELM1,
MUYV0X1,QLD,512,123,31.49,,0,0,18,4,--,--,--,10847,MUYVLM1,
MUZWDX1,SA,554,1000,8.5,,0,0,13,3,--,--,--,10848,MUZWLM1,
MUWS0X1,NSW,553,990,2.91,,0,0,15,4,--,--,--,10849,MUWSLM1,
MUUDBX1,WA,529,126,72.87,,0,0,25,5,--,--,--,10850,MUUDLM0,
MUUN0X1,QLD,527,990,5.67,,0,0,13,1,--,--,--,10851,MUUNLM1,
MUSH0X1,QLD,527,1000,3.79,,0,0,14,3,--,--,--,10852,MUSHLM1,
MUPD,WA,497,,31.79,,0,0,16,3,--,--,--,10853,MUPDLM1,
MUPD0T2,,567,,8.97,,0,0,18,3,--,--,--,10854,,
MUHGDX1,NSW,554,1000,8.82,,0,0,14,1,--,--,--,10855,MUHGLM1,
MUKDDX1,NSW,537,260,6.84,,0,0,16,3,--,--,--,10856,MUKDLM1,
MUKK0X1,QLD,530,990,3.23,,0,0,13,3,--,--,--,10857,MUKKLM1,
MUGD0X1,WA,532,990,15.52,,0,0,15,3,--,--,--,10858,MUGDLM1,
MUGGBX1,SA,498,1000,6.83,,0,0,13,4,--,--,--,10859,MUGGLM1,
MUEL0X1,SA,555,1000,11.62,,0,0,16,4,--,--,--,10860,MUELLM1,
MUET0X1,SA,533,1000,8.59,,0,0,13,3,--,--,--,10861,MUETLM1,
